packets/s 	 1259988 	 bytes/s 	 9028
packets/s 	 1271593 	 bytes/s 	 9105
packets/s 	 1283446 	 bytes/s 	 9193
packets/s 	 1295081 	 bytes/s 	 9278
packets/s 	 1306380 	 bytes/s 	 9362
packets/s 	 1317417 	 bytes/s 	 9435
packets/s 	 1325071 	 bytes/s 	 9494
packets/s 	 844568 	 bytes/s 	 6059
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 3360 	 bytes/s 	 23
packets/s 	 13440 	 bytes/s 	 97
packets/s 	 13408 	 bytes/s 	 95
packets/s 	 16736 	 bytes/s 	 103
packets/s 	 26848 	 bytes/s 	 194
packets/s 	 26861 	 bytes/s 	 193
packets/s 	 30131 	 bytes/s 	 221
packets/s 	 40256 	 bytes/s 	 282
packets/s 	 40256 	 bytes/s 	 317
packets/s 	 43520 	 bytes/s 	 302
packets/s 	 53728 	 bytes/s 	 364
packets/s 	 53696 	 bytes/s 	 386
packets/s 	 56960 	 bytes/s 	 405
packets/s 	 67104 	 bytes/s 	 513
packets/s 	 67136 	 bytes/s 	 465
packets/s 	 70368 	 bytes/s 	 488
packets/s 	 80544 	 bytes/s 	 580
packets/s 	 80544 	 bytes/s 	 587
packets/s 	 83776 	 bytes/s 	 586
packets/s 	 93984 	 bytes/s 	 674
packets/s 	 93792 	 bytes/s 	 683
packets/s 	 97152 	 bytes/s 	 682
packets/s 	 107421 	 bytes/s 	 800
packets/s 	 107395 	 bytes/s 	 739
packets/s 	 110560 	 bytes/s 	 789
packets/s 	 120832 	 bytes/s 	 884
packets/s 	 120809 	 bytes/s 	 850
packets/s 	 123959 	 bytes/s 	 900
packets/s 	 134272 	 bytes/s 	 950
packets/s 	 134228 	 bytes/s 	 974
packets/s 	 137356 	 bytes/s 	 967
packets/s 	 147680 	 bytes/s 	 1062
packets/s 	 147648 	 bytes/s 	 1065
packets/s 	 150752 	 bytes/s 	 1069
packets/s 	 161088 	 bytes/s 	 1188
packets/s 	 161120 	 bytes/s 	 1125
packets/s 	 164192 	 bytes/s 	 1175
packets/s 	 174496 	 bytes/s 	 1275
packets/s 	 174534 	 bytes/s 	 1226
packets/s 	 177594 	 bytes/s 	 1269
packets/s 	 187936 	 bytes/s 	 1375
packets/s 	 187968 	 bytes/s 	 1312
packets/s 	 190964 	 bytes/s 	 1371
packets/s 	 201350 	 bytes/s 	 1457
packets/s 	 201320 	 bytes/s 	 1456
packets/s 	 204350 	 bytes/s 	 1431
packets/s 	 214816 	 bytes/s 	 1543
packets/s 	 214848 	 bytes/s 	 1534
packets/s 	 217728 	 bytes/s 	 1578
packets/s 	 228064 	 bytes/s 	 1636
packets/s 	 227776 	 bytes/s 	 1642
packets/s 	 231040 	 bytes/s 	 1637
packets/s 	 241600 	 bytes/s 	 1716
packets/s 	 241600 	 bytes/s 	 1733
packets/s 	 244544 	 bytes/s 	 1756
packets/s 	 255008 	 bytes/s 	 1827
packets/s 	 255068 	 bytes/s 	 1822
packets/s 	 257931 	 bytes/s 	 1847
packets/s 	 268473 	 bytes/s 	 1926
packets/s 	 268448 	 bytes/s 	 1925
packets/s 	 271392 	 bytes/s 	 1944
packets/s 	 281940 	 bytes/s 	 2012
packets/s 	 281932 	 bytes/s 	 2024
packets/s 	 284800 	 bytes/s 	 2058
packets/s 	 295328 	 bytes/s 	 2127
packets/s 	 295328 	 bytes/s 	 2098
packets/s 	 298145 	 bytes/s 	 2126
packets/s 	 308767 	 bytes/s 	 2208
packets/s 	 308710 	 bytes/s 	 2214
packets/s 	 311578 	 bytes/s 	 2229
packets/s 	 322156 	 bytes/s 	 2339
packets/s 	 322130 	 bytes/s 	 2279
packets/s 	 324962 	 bytes/s 	 2323
packets/s 	 335552 	 bytes/s 	 2405
packets/s 	 335561 	 bytes/s 	 2430
packets/s 	 338327 	 bytes/s 	 2395
packets/s 	 348896 	 bytes/s 	 2500
packets/s 	 348864 	 bytes/s 	 2530
packets/s 	 351648 	 bytes/s 	 2485
packets/s 	 362336 	 bytes/s 	 2595
packets/s 	 362374 	 bytes/s 	 2612
packets/s 	 365146 	 bytes/s 	 2601
packets/s 	 375936 	 bytes/s 	 2724
packets/s 	 375936 	 bytes/s 	 2658
packets/s 	 378659 	 bytes/s 	 2724
packets/s 	 389309 	 bytes/s 	 2777
packets/s 	 389312 	 bytes/s 	 2793
packets/s 	 392000 	 bytes/s 	 2805
packets/s 	 402656 	 bytes/s 	 2894
packets/s 	 402680 	 bytes/s 	 2873
packets/s 	 405320 	 bytes/s 	 2935
packets/s 	 416000 	 bytes/s 	 2950
packets/s 	 416010 	 bytes/s 	 3000
packets/s 	 418642 	 bytes/s 	 2980
packets/s 	 429508 	 bytes/s 	 3073
packets/s 	 429588 	 bytes/s 	 3110
packets/s 	 432076 	 bytes/s 	 3069
packets/s 	 442976 	 bytes/s 	 3169
packets/s 	 442944 	 bytes/s 	 3205
packets/s 	 445472 	 bytes/s 	 3161
packets/s 	 456014 	 bytes/s 	 3265
packets/s 	 456018 	 bytes/s 	 3281
packets/s 	 458592 	 bytes/s 	 3301
packets/s 	 469729 	 bytes/s 	 3334
packets/s 	 469823 	 bytes/s 	 3367
packets/s 	 472320 	 bytes/s 	 3381
packets/s 	 483136 	 bytes/s 	 3475
packets/s 	 483124 	 bytes/s 	 3479
packets/s 	 485612 	 bytes/s 	 3458
packets/s 	 496000 	 bytes/s 	 3540
packets/s 	 496051 	 bytes/s 	 3561
packets/s 	 498637 	 bytes/s 	 3565
packets/s 	 509984 	 bytes/s 	 3654
packets/s 	 509999 	 bytes/s 	 3652
packets/s 	 512465 	 bytes/s 	 3669
packets/s 	 523328 	 bytes/s 	 3749
packets/s 	 523309 	 bytes/s 	 3749
packets/s 	 525651 	 bytes/s 	 3765
packets/s 	 536035 	 bytes/s 	 3841
packets/s 	 536061 	 bytes/s 	 3841
packets/s 	 538592 	 bytes/s 	 3857
packets/s 	 550208 	 bytes/s 	 3945
packets/s 	 550240 	 bytes/s 	 3935
packets/s 	 552768 	 bytes/s 	 3968
packets/s 	 563840 	 bytes/s 	 4063
packets/s 	 563840 	 bytes/s 	 4023
packets/s 	 566144 	 bytes/s 	 4043
packets/s 	 576000 	 bytes/s 	 4125
packets/s 	 576098 	 bytes/s 	 4128
packets/s 	 578590 	 bytes/s 	 4168
packets/s 	 590560 	 bytes/s 	 4219
packets/s 	 590453 	 bytes/s 	 4213
packets/s 	 592971 	 bytes/s 	 4255
packets/s 	 603936 	 bytes/s 	 4352
packets/s 	 603904 	 bytes/s 	 4302
packets/s 	 606196 	 bytes/s 	 4337
packets/s 	 617068 	 bytes/s 	 4448
packets/s 	 617090 	 bytes/s 	 4393
packets/s 	 619422 	 bytes/s 	 4440
packets/s 	 630685 	 bytes/s 	 4547
packets/s 	 630653 	 bytes/s 	 4484
packets/s 	 632934 	 bytes/s 	 4552
packets/s 	 644000 	 bytes/s 	 4592
packets/s 	 644000 	 bytes/s 	 4616
packets/s 	 646195 	 bytes/s 	 4641
packets/s 	 657325 	 bytes/s 	 4694
packets/s 	 657280 	 bytes/s 	 4715
packets/s 	 659647 	 bytes/s 	 4719
packets/s 	 670721 	 bytes/s 	 4805
packets/s 	 670736 	 bytes/s 	 4834
